ko_id,ko_name,n_cells,fc_1-2,pval
KO:K06382,stage II sporulation protein E [EC:3.1.3.16],1507,-10.0423765,3.488677333111378e-107
KO:K06383,stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-],1128,-10.009392,7.846445447240614e-106
KO:K05311,central glycolytic genes regulator,1278,-9.996064,6.226188141394416e-106
KO:K02760,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205],2091,-9.936075,1.249134697736567e-108
KO:K06390,stage III sporulation protein AA,1180,-9.891601,8.67839338860948e-107
KO:K17076,putative lysine transport system ATP-binding protein,2291,-9.887569,1.8556453448193145e-99
KO:K06397,stage III sporulation protein AH,1329,-9.865167,2.4932637981901833e-108
KO:K09976,uncharacterized protein,1034,-9.856121,1.1418767221168659e-95
KO:K01223,6-phospho-beta-glucosidase [EC:3.2.1.86],2875,-9.821429,1.6144293688085478e-112
KO:K02819,trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201],1210,-9.814803,4.619872104460184e-93
KO:K11104,melibiose permease,1545,-9.813954,2.2291150921558518e-88
KO:K04031,ethanolamine utilization protein EutS,1058,-9.798441,4.6646619718330156e-110
KO:K03491,lichenan operon transcriptional antiterminator,1883,-9.7799225,3.746564482391386e-107
KO:K19350,lincosamide and streptogramin A transport system ATP-binding/permease protein,1546,-9.773464,4.5911506514744205e-94
KO:K06394,stage III sporulation protein AE,1204,-9.769644,1.0186546277554308e-105
KO:K06393,stage III sporulation protein AD,1025,-9.752886,2.9636628914003428e-103
KO:K02765,D-glucosamine PTS system EIICBA component [EC:2.7.1.-],1524,-9.742789,6.93608333277987e-111
KO:K19165,antitoxin Phd,1032,-9.726614,4.0627312529689824e-101
KO:K03700,recombination protein U,1880,-9.691664,7.75454329685242e-108
KO:K17810,D-aspartate ligase [EC:6.3.1.12],1669,-9.663742,1.1301932154956163e-96
KO:K04029,ethanolamine utilization protein EutP,1067,-9.630669,8.809433732683182e-107
KO:K06385,stage II sporulation protein P,1845,-9.61641,1.0066653096455164e-104
KO:K03346,replication initiation and membrane attachment protein,1125,-9.61057,7.129298091864503e-81
KO:K02240,competence protein ComFA,1146,-9.551363,1.4574474085168698e-100
KO:K07862,serine/threonine transporter,2376,-9.473637,8.274570079011401e-88
KO:K06286,septation ring formation regulator,709,-9.470883,8.344425071076118e-86
KO:K06436,spore coat assemly protein,1032,-9.4425745,1.9254800700157213e-84
KO:K07271,lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-],3186,-9.361395,4.7907373073976026e-105
KO:K06391,stage III sporulation protein AB,1021,-9.309446,1.3307459088314277e-94
KO:K02073,D-methionine transport system substrate-binding protein,4689,-9.307876,3.541351878771246e-116
KO:K02243,competence protein ComGA,868,-9.272941,1.2774687332780716e-90
KO:K03486,"GntR family transcriptional regulator, trehalose operon transcriptional repressor",1400,-9.255015,4.457235381878569e-89
KO:K07570,general stress protein 13,1294,-9.246229,6.01677007397998e-94
KO:K11144,primosomal protein DnaI,1452,-9.232271,2.7728224349500706e-92
KO:K02072,D-methionine transport system permease protein,4321,-9.226865,2.394886295831443e-116
KO:K01232,maltose-6'-phosphate glucosidase [EC:3.2.1.122],882,-9.210508,6.282576668074253e-90
KO:K18692,ATP-dependent RNA helicase CshB [EC:3.6.4.13],1537,-9.146143,2.1702312256803684e-86
KO:K19167,protein AbiQ,860,-9.115345,1.7590063240128854e-95
KO:K17073,putative lysine transport system substrate-binding protein,1396,-9.05981,8.025750108428055e-88
KO:K06310,spore germination protein,973,-9.051315,9.59579614152357e-84
KO:K02791,maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208],1011,-9.046591,8.846840984780495e-96
KO:K06421,small acid-soluble spore protein D (minor alpha/beta-type SASP),692,-9.04657,3.6426417586623613e-93
KO:K03647,protein involved in ribonucleotide reduction,3703,-9.044476,1.2938298670051559e-64
KO:K01215,"glucan 1,6-alpha-glucosidase [EC:3.2.1.70]",1724,-8.992647,2.7536858841625914e-93
KO:K03289,"MFS transporter, NHS family, nucleoside permease",1228,-8.971412,1.2041431946826771e-52
KO:K06297,spore germination protein KC,1296,-8.95762,1.216999170324711e-80
KO:K10540,methyl-galactoside transport system substrate-binding protein,2041,-8.852179,7.518397251519157e-101
KO:K02744,N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-],2884,-8.814806,1.881371047976984e-95
KO:K10541,methyl-galactoside transport system permease protein,1904,-8.738184,1.4725867047947702e-102
KO:K06967,tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217],3280,-8.711284,2.4831980498160585e-115
KO:K03492,GntR family transcriptional regulator,1167,-8.696268,7.019921239419847e-87
KO:K11051,multidrug/hemolysin transport system permease protein,1354,-8.633459,2.6970362968633885e-88
KO:K09787,uncharacterized protein,2616,-8.616713,2.072029202766553e-116
KO:K10793,D-proline reductase (dithiol) PrdA [EC:1.21.4.1],882,-8.609674,9.413887962026507e-89
KO:K07590,large subunit ribosomal protein L7A,1531,-8.58415,3.421413624609912e-103
KO:K02086,DNA replication protein,1564,-8.577951,2.6776867312514515e-93
KO:K08314,fructose-6-phosphate aldolase 2 [EC:4.1.2.-],1517,-8.522648,1.0506992503729936e-84
KO:K06408,stage V sporulation protein AF,1012,-8.51517,1.3345948787040615e-87
KO:K16959,L-cystine transport system permease protein,1191,-8.500422,5.215146250112734e-88
KO:K03480,transcriptional antiterminator,811,-8.500189,7.435417741700818e-84
KO:K07105,uncharacterized protein,2733,-8.493045,1.4880733519793008e-106
KO:K16957,L-cystine transport system substrate-binding protein,1185,-8.473181,2.3481113198543266e-85
KO:K06395,stage III sporulation protein AF,957,-8.448666,4.921060006537514e-92
KO:K03713,"MerR family transcriptional regulator, glutamine synthetase repressor",1126,-8.443048,2.5518444163956615e-49
KO:K02777,sugar PTS system EIIA component [EC:2.7.1.-],2814,-8.439756,7.185418610897567e-92
KO:K06410,dipicolinate synthase subunit A,3140,-8.435622,8.438245743158523e-97
KO:K16958,L-cystine transport system permease protein,1066,-8.376149,1.7576867628925142e-89
KO:K18704,CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47],3207,-8.292744,3.2424155829903454e-82
KO:K07584,uncharacterized protein,2380,-8.2630415,3.654431948073279e-114
KO:K18120,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],905,-8.261274,1.235008448637082e-93
KO:K16248,probable glucitol transport protein GutA,1498,-8.250995,1.283497354784871e-95
KO:K07719,"two-component system, response regulator YcbB",1195,-8.234093,1.0294811446689681e-80
KO:K02781,glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198],3530,-8.167469,2.90708674666008e-87
KO:K10192,oligogalacturonide transport system substrate-binding protein,1856,-8.112972,4.47962142991058e-94
KO:K06379,stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1],2926,-8.109621,3.547405256690146e-100
KO:K10040,aspartate/glutamate/glutamine transport system permease protein,2640,-8.109503,3.837537696329198e-85
KO:K03487,"LacI family transcriptional regulator, asc operon repressor",1385,-8.096586,8.915670483642154e-88
KO:K18350,"two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]",1473,-7.981559,4.330527760167385e-97
KO:K07717,"two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]",1094,-7.9704714,2.099769471942888e-76
KO:K11145,ribonuclease III family protein [EC:3.1.26.-],2952,-7.933174,3.1828958994455238e-105
KO:K03740,D-alanine transfer protein,2879,-7.930732,2.2230065778313477e-82
KO:K04023,ethanolamine transporter,1829,-7.930384,7.223789995120295e-102
KO:K02798,mannitol PTS system EIIA component [EC:2.7.1.197],3639,-7.922826,4.332348795530205e-75
KO:K06296,spore germination protein KB,1396,-7.92043,1.3425592152130273e-58
KO:K03930,putative tributyrin esterase [EC:3.1.1.-],1765,-7.89325,5.443815445653306e-74
KO:K00385,anaerobic sulfite reductase subunit C,938,-7.892626,8.000684578006197e-75
KO:K02647,carbohydrate diacid regulator,3397,-7.8377976,9.033205916661424e-118
KO:K02746,N-acetylgalactosamine PTS system EIIC component,716,-7.7578745,3.246821159739288e-79
KO:K01226,trehalose-6-phosphate hydrolase [EC:3.2.1.93],2440,-7.752145,7.433494732642347e-90
KO:K02783,glucitol/sorbitol PTS system EIIC component,4107,-7.735622,2.4145637973975273e-83
KO:K07173,S-ribosylhomocysteine lyase [EC:4.4.1.21],2934,-7.724248,1.3868648076125265e-103
KO:K02532,"MFS transporter, OHS family, lactose permease",1273,-7.6917567,1.8218008083277763e-62
KO:K01085,glucose-1-phosphatase [EC:3.1.3.10],2042,-7.670823,1.4859790276111186e-40
KO:K06906,uncharacterized protein,2884,-7.6669483,7.534359809825078e-83
KO:K03095,SprT-like protein,711,-7.653848,7.67082897737305e-41
KO:K08317,hydroxycarboxylate dehydrogenase A [EC:1.1.1.-],817,-7.6499257,1.4992197380972143e-58
KO:K02747,N-acetylgalactosamine PTS system EIID component,869,-7.643751,1.5954337795081483e-72
KO:K02759,cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205],2849,-7.566965,1.0299372974235663e-101
KO:K05352,ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405],984,-7.5619454,9.94521812928167e-74
KO:K05964,holo-ACP synthase [EC:2.7.7.61],1460,-7.556624,4.005978695618063e-75
KO:K07650,"two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]",1209,-7.5499277,1.1196838873718568e-72
KO:K07694,"two-component system, NarL family, vancomycin resistance associated response regulator VraR",1755,-7.5444326,4.987943808526487e-65
KO:K11184,catabolite repression HPr-like protein,1773,-7.5344467,4.725944437812202e-69
KO:K16960,L-cystine transport system ATP-binding protein [EC:7.4.2.1],2226,-7.5257716,2.1939586146202016e-83
KO:K11934,outer membrane protein X,2060,-7.519722,2.167607558046673e-54
KO:K02822,ascorbate PTS system EIIB component [EC:2.7.1.194],3113,-7.474391,3.906424235765451e-93
KO:K06956,uncharacterized protein,3870,-7.4699926,4.338248168646164e-93
KO:K19508,fructoselysine/glucoselysine PTS system EIIC component,757,-7.438324,3.5898371829178796e-75
KO:K02745,N-acetylgalactosamine PTS system EIIB component [EC:2.7.1.-],1095,-7.3851223,4.302352084150573e-71
KO:K16235,S-methylmethionine transporter,1411,-7.374565,4.0065200067412966e-58
KO:K19048,toxic protein SymE,2206,-7.3638334,3.043363376075454e-73
KO:K07699,"two-component system, response regulator, stage 0 sporulation protein A",2580,-7.327233,1.1040044480668074e-101
KO:K02530,"DeoR family transcriptional regulator, lactose phosphotransferase system repressor",1217,-7.3228364,7.83471690728366e-61
KO:K01308,g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11],2799,-7.252242,4.9329983450576266e-98
KO:K06409,stage V sporulation protein B,4003,-7.249649,1.056221649539602e-118
KO:K06423,small acid-soluble spore protein F (minor alpha/beta-type SASP),796,-7.2323,4.940733160532956e-47
KO:K07217,Mn-containing catalase,4146,-7.20029,3.537587724625647e-62
KO:K06610,"MFS transporter, SP family, inositol transporter",2914,-7.191841,1.0600369287179894e-37
KO:K19509,fructoselysine/glucoselysine PTS system EIID component,807,-7.176888,3.549956361621293e-61
KO:K14983,"two-component system, OmpR family, response regulator CiaR",1273,-7.172757,6.285425622057207e-70
KO:K18856,D-alanine---D-serine ligase [EC:6.3.2.35],735,-7.1525974,1.671417348500562e-81
KO:K07816,putative GTP pyrophosphokinase [EC:2.7.6.5],3334,-7.110032,1.113470079680708e-110
KO:K01421,putative membrane protein,5348,-7.07839,1.401576028322051e-106
KO:K16509,regulatory protein spx,2779,-7.053963,1.0396101477584872e-68
KO:K09685,purine operon repressor,1894,-7.053436,9.331339189364483e-102
KO:K12700,non-specific riboncleoside hydrolase [EC:3.2.-.-],2652,-7.043026,1.2241206440648564e-67
KO:K04769,"AbrB family transcriptional regulator, stage V sporulation protein T",1893,-7.0338397,3.1555765159626892e-99
KO:K01567,peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-],2729,-7.0318356,5.480301131227316e-96
KO:K06403,stage V sporulation protein AA,669,-7.0072927,3.544010738224219e-78
KO:K11050,multidrug/hemolysin transport system ATP-binding protein,2336,-6.998838,3.310598055097348e-89
KO:K08659,dipeptidase [EC:3.4.-.-],1407,-6.98718,3.401758060428379e-73
KO:K07084,putative amino acid transporter,1793,-6.980774,2.9422990131950814e-50
KO:K02071,D-methionine transport system ATP-binding protein,5628,-6.959859,2.747878057377681e-115
KO:K10194,oligogalacturonide transport system permease protein,1893,-6.9488106,1.1549815398196779e-85
KO:K10122,fructooligosaccharide transport system permease protein,949,-6.939791,3.4902566866682333e-84
KO:K02761,cellobiose PTS system EIIC component,4325,-6.871047,3.993166030981283e-105
KO:K03484,"LacI family transcriptional regulator, sucrose operon repressor",2986,-6.8557725,1.1013147556802133e-109
KO:K03483,mannitol operon transcriptional antiterminator,2111,-6.853539,5.234542990723026e-85
KO:K14665,amidohydrolase [EC:3.5.1.-],1281,-6.8373566,2.5442938665332124e-85
KO:K10006,glutamate transport system permease protein,3303,-6.82212,2.1504493893437586e-40
KO:K13927,holo-ACP synthase / triphosphoribosyl-dephospho-CoA synthase [EC:2.7.7.61 2.4.2.52],1343,-6.8111353,5.876380199526124e-63
KO:K11535,nucleoside transport protein,778,-6.807791,1.0389540078160437e-49
KO:K11614,"two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]",1559,-6.7936115,3.212893447789751e-65
KO:K03311,"branched-chain amino acid:cation transporter, LIVCS family",3620,-6.7843533,3.011596329528619e-95
KO:K17195,D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-],1054,-6.7440643,1.873968608227237e-68
KO:K08986,putative membrane protein,2859,-6.7321887,2.648922149144361e-60
KO:K19334,biofilm protein TabA,1421,-6.723612,4.039401212606943e-49
KO:K06313,spore germination protein,854,-6.7196755,6.206473869669887e-51
KO:K03340,diaminopimelate dehydrogenase [EC:1.4.1.16],2075,-6.669526,1.3771014911012787e-92
KO:K13004,galacturonosyltransferase WbtD [EC:2.4.1.-],2638,-6.667022,1.3736249456000893e-74
KO:K01994,"LuxR family transcriptional regulator, transcriptional regulator of spore coat protein",692,-6.646877,5.36909807229315e-43
KO:K06386,stage II sporulation protein Q,818,-6.619755,3.903317982147186e-40
KO:K16962,putative S-methylcysteine transport system permease protein,1307,-6.6185193,1.0691401869789951e-69
KO:K07099,uncharacterized protein,4067,-6.586378,3.8438213179324375e-90
KO:K11691,"two-component system, CitB family, sensor histidine kinase DctS [EC:2.7.13.3]",1518,-6.5745463,5.153229740318267e-57
KO:K19510,fructoselysine-6-phosphate deglycase,3011,-6.5595512,2.0668494832727178e-76
KO:K00881,allose kinase [EC:2.7.1.55],1366,-6.551734,1.1650273221222275e-73
KO:K16169,xanthine permease,1081,-6.5440316,1.1253561238570557e-42
KO:K10120,fructooligosaccharide transport system substrate-binding protein,1191,-6.541575,2.8790070284057827e-69
KO:K08156,"MFS transporter, DHA1 family, arabinose polymer utilization protein",1467,-6.446087,5.775442284134261e-43
KO:K04041,"fructose-1,6-bisphosphatase III [EC:3.1.3.11]",4918,-6.4339514,1.1587286659006598e-96
KO:K17318,putative aldouronate transport system substrate-binding protein,4906,-6.4145184,9.33656208633369e-109
KO:K17320,putative aldouronate transport system permease protein,4659,-6.408986,1.6646256696921567e-108
KO:K14115,energy-converting hydrogenase B subunit F,736,-6.38054,3.1611258509622014e-48
KO:K02804,N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193],4953,-6.368777,4.656176359002287e-102
KO:K04032,ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17],1584,-6.356148,5.934803040007319e-70
KO:K02466,glucitol operon activator protein,1836,-6.3327436,1.1070609449428403e-68
KO:K03623,ribonuclease inhibitor,2258,-6.313449,4.6173275601590515e-67
KO:K14124,energy-converting hydrogenase B subunit O,680,-6.31,1.572763963522619e-46
KO:K01492,phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.2 2.1.2.3],1963,-6.2895985,1.6302879442939642e-51
KO:K10007,glutamate transport system permease protein,3567,-6.2856035,2.592480615487944e-35
KO:K00532,ferredoxin hydrogenase [EC:1.12.7.2],1204,-6.265093,4.056500442385089e-75
KO:K07134,uncharacterized protein,654,-6.259905,3.7832121156783693e-35
KO:K16961,putative S-methylcysteine transport system substrate-binding protein,1234,-6.2497587,2.8028236229542328e-52
KO:K08722,5'-deoxynucleotidase [EC:3.1.3.89],4041,-6.2476807,2.5699391211314343e-85
KO:K00048,lactaldehyde reductase [EC:1.1.1.77],3081,-6.2418146,4.461235446463104e-93
KO:K06305,spore germination protein Q,700,-6.2367344,1.2943785155671376e-35
KO:K03091,RNA polymerase sporulation-specific sigma factor,5491,-6.236441,1.3534413463723351e-107
KO:K10009,L-cystine transport system permease protein,4622,-6.230854,7.152528812651042e-81
KO:K01449,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],4844,-6.2218904,2.9484352603585164e-104
KO:K03475,ascorbate PTS system EIIC component,3041,-6.21885,8.370866233795035e-92
KO:K17319,putative aldouronate transport system permease protein,4706,-6.2012653,9.827047208643049e-110
KO:K15534,beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247],1604,-6.1947517,2.5665857965498683e-46
KO:K19242,"LysR family transcriptional regulator, repressor for citA",1329,-6.1876726,5.165892873452176e-63
KO:K02173,putative kinase,1567,-6.1766605,5.55618477412497e-36
KO:K11615,"two-component system, CitB family, response regulator MalR",2027,-6.1742773,1.2537278517569796e-57
KO:K14123,energy-converting hydrogenase B subunit N,722,-6.171159,1.2174532374358087e-43
KO:K13607,cinnamoyl-CoA:phenyllactate CoA-transferase [EC:2.8.3.17],1031,-6.1702423,7.69604521270199e-55
KO:K14099,energy-converting hydrogenase A subunit H,712,-6.1615663,8.240602310759685e-35
KO:K06608,"DeoR family transcriptional regulator, myo-inositol catabolism operon repressor",1676,-6.1612434,4.289231474295405e-73
KO:K00041,tagaturonate reductase [EC:1.1.1.58],5931,-6.1533427,2.269366559343623e-113
KO:K06317,inhibitor of the pro-sigma K processing machinery,1542,-6.1319566,6.532367276583567e-86
KO:K03763,"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]",5535,-6.1250486,2.1582089741964712e-115
KO:K11202,fructose-like PTS system EIIB component [EC:2.7.1.-],2181,-6.122164,2.5113901105008897e-34
KO:K10193,oligogalacturonide transport system permease protein,2444,-6.1220393,4.522594555795744e-79
KO:K01361,lactocepin [EC:3.4.21.96],3726,-6.1207533,3.725489865442016e-88
KO:K07571,S1 RNA binding domain protein,3545,-6.1207237,5.4282451062752744e-104
KO:K00040,fructuronate reductase [EC:1.1.1.57],6135,-6.0895185,1.9747578238806414e-113
KO:K15586,nickel transport system permease protein,1772,-6.0873437,1.9200274769197818e-55
KO:K07701,"two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]",1169,-6.076016,2.0846007266702012e-46
KO:K19506,fructoselysine/glucoselysine PTS system EIIA component [EC:2.7.1.-],827,-6.068118,1.1130253343495423e-65
KO:K09762,cell division protein WhiA,5793,-6.0205636,1.4267791394899428e-110
KO:K14101,energy-converting hydrogenase A subunit J,739,-6.014619,1.9804690891555912e-38
KO:K03048,DNA-directed RNA polymerase subunit delta,3524,-5.9962287,1.0772719052070108e-86
KO:K02784,phosphocarrier protein HPr,1893,-5.9578,1.7849671418506499e-47
KO:K10984,galactosamine PTS system EIIB component [EC:2.7.1.-],703,-5.955861,3.6343614417755416e-60
KO:K01220,6-phospho-beta-galactosidase [EC:3.2.1.85],2543,-5.947188,5.665990583419418e-37
KO:K01261,glutamyl aminopeptidase [EC:3.4.11.7],1081,-5.9352713,5.533850063672874e-50
KO:K00868,pyridoxine kinase [EC:2.7.1.35],5992,-5.921894,1.403479565745819e-105
KO:K06285,transcription attenuation protein (tryptophan RNA-binding attenuator protein),1488,-5.9051547,8.128104392427244e-26
KO:K18231,macrolide transport system ATP-binding/permease protein,2535,-5.8914604,2.5527232594445314e-90
KO:K04068,anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4],5677,-5.8862233,1.1409209958600589e-101
KO:K15921,arabinoxylan arabinofuranohydrolase [EC:3.2.1.55],3050,-5.8862176,2.0366559394118205e-31
KO:K10558,AI-2 transport system ATP-binding protein,1798,-5.881179,4.2546023063525864e-69
KO:K10542,methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11],3272,-5.8672705,4.514212588434352e-105
KO:K10005,glutamate transport system substrate-binding protein,3854,-5.8435774,4.535938583560436e-38
KO:K07467,phage replication initiation protein,2569,-5.835416,7.908537249661145e-48
KO:K14106,energy-converting hydrogenase A subunit O,891,-5.8323364,2.4548352056625552e-29
KO:K03697,ATP-dependent Clp protease ATP-binding subunit ClpE,2762,-5.832135,1.1312133699968887e-80
KO:K03739,membrane protein involved in D-alanine export,3764,-5.7939506,8.840956811191706e-70
KO:K06284,"AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes",3469,-5.787934,2.0458201967032947e-99
KO:K06211,"HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]",2989,-5.7732897,1.23928246290668e-58
KO:K02538,"activator of the mannose operon, transcriptional antiterminator",691,-5.763589,4.882937071454268e-56
KO:K14093,energy-converting hydrogenase A subunit B,679,-5.7353144,8.947272013964097e-35
KO:K19425,glycosyltransferase EpsH [EC:2.4.-.-],2807,-5.7127666,2.7191607144756073e-69
KO:K05823,N-acetyldiaminopimelate deacetylase [EC:3.5.1.47],1815,-5.7098775,1.485938829076491e-44
KO:K18348,serine/alanine racemase [EC:5.1.1.18 5.1.1.1],2076,-5.708934,1.55282205083522e-66
KO:K07718,"two-component system, sensor histidine kinase YesM [EC:2.7.13.3]",4809,-5.704552,2.843931445097547e-110
KO:K18220,ribosomal protection tetracycline resistance protein,4539,-5.6989136,2.23677074913501e-66
KO:K18446,triphosphatase [EC:3.6.1.25],2702,-5.6778502,1.6333978124758932e-43
KO:K02775,galactitol PTS system EIIC component,3310,-5.6777787,1.5420018958369055e-104
KO:K14098,energy-converting hydrogenase A subunit G,709,-5.677717,8.310101789792714e-33
KO:K19353,heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-],3920,-5.671642,3.136126793312807e-29
KO:K19427,glycosyltransferase EpsJ [EC:2.4.-.-],2678,-5.6679215,5.8849545531707215e-58
KO:K11692,"two-component system, CitB family, response regulator DctR",2424,-5.6626577,2.1703021559371938e-67
KO:K14097,energy-converting hydrogenase A subunit F,715,-5.6621246,3.509700277457005e-33
KO:K16963,putative S-methylcysteine transport system ATP-binding protein,2119,-5.659336,5.865474825833393e-51
KO:K11733,lysine-specific permease,2887,-5.6559134,3.9476699869011495e-51
KO:K09824,uncharacterized protein,2830,-5.6493945,3.3485679157782806e-22
KO:K07166,ACT domain-containing protein,3863,-5.6328464,4.8833174516005155e-112
KO:K02774,galactitol PTS system EIIB component [EC:2.7.1.200],2362,-5.623899,1.0978419818005114e-60
KO:K02103,"GntR family transcriptional regulator, arabinose operon transcriptional repressor",3139,-5.621708,7.490219336534746e-89
KO:K10550,D-allose transport system permease protein,1002,-5.6130447,1.6555100218353357e-64
KO:K19419,transmembrane protein EpsG,884,-5.611008,1.9116506826606235e-45
KO:K11737,D-serine/D-alanine/glycine transporter,3360,-5.607091,1.0668760849676234e-38
KO:K18349,"two-component system, OmpR family, response regulator VanR",2102,-5.5675297,1.1733156701704369e-76
KO:K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein",4679,-5.557831,5.1628323370342e-75
KO:K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],1060,-5.5537434,2.0116759078251682e-43
KO:K08159,"MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein",1780,-5.5467215,3.897213120320814e-35
KO:K02769,fructose PTS system EIIB component [EC:2.7.1.202],2372,-5.5342226,1.7395756600573527e-36
KO:K06908,uncharacterized protein,3716,-5.5243416,8.981611508417293e-82
KO:K18926,"MFS transporter, DHA2 family, lincomycin resistance protein",4103,-5.5126915,1.186096718756428e-43
KO:K18907,"GntR family transcriptional regulator, regulator for abcA and norABC",2421,-5.4933586,2.759767974955243e-51
KO:K05822,tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89],2830,-5.478413,1.1590135681864845e-78
KO:K12292,"ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]",796,-5.4780397,2.1849514803081556e-41
KO:K14105,energy-converting hydrogenase A subunit N,826,-5.4719844,1.5414904202625368e-27
KO:K19426,pyruvyl transferase EpsI [EC:2.-.-.-],1155,-5.470979,8.450631192054487e-47
KO:K11734,aromatic amino acid transport protein AroP,1935,-5.467386,2.0977936615707946e-32
KO:K15587,nickel transport system ATP-binding protein [EC:7.2.2.11],1186,-5.4545107,2.908647025894173e-43
