ko_id,ko_name,n_cells,fc_1-2,pval
KO:K02683,DNA primase small subunit [EC:2.7.7.102],3796,-8.627359,6.883323185253634e-222
KO:K17830,digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11],4944,-8.573838,2.2830110749201007e-238
KO:K06932,tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22],3835,-8.556238,1.9683448310452204e-212
KO:K03330,glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7],4501,-8.543198,1.3911734597708541e-198
KO:K18779,7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48],4364,-8.502516,3.18036743476016e-197
KO:K04483,DNA repair protein RadA,4221,-8.477704,6.506120681891711e-228
KO:K02323,DNA polymerase II small subunit [EC:2.7.7.7],4175,-8.461935,7.258226974467051e-216
KO:K11107,ferredoxin,1370,-8.461504,1.716494960976119e-218
KO:K07254,tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206],3673,-8.424557,6.794560724623838e-213
KO:K07332,archaeal flagellar protein FlaI,3914,-8.392141,4.526333860729113e-182
KO:K06865,ATPase,3785,-8.320135,1.3512641460588975e-205
KO:K09482,glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7],4518,-8.203407,8.423067405317848e-185
KO:K04795,fibrillarin-like pre-rRNA processing protein,3693,-8.139343,1.4061434001162133e-208
KO:K03057,transcription factor S,3478,-8.094967,1.3862255634171717e-208
KO:K11646,3-dehydroquinate synthase II [EC:1.4.1.24],4321,-8.086095,4.554063058845912e-210
KO:K03049,DNA-directed RNA polymerase subunit E' [EC:2.7.7.6],3816,-8.051624,1.3928333282011332e-208
KO:K09716,D-aminoacyl-tRNA deacylase [EC:3.1.1.96],3649,-8.026939,1.9236201370013323e-210
KO:K02869,large subunit ribosomal protein L12,3699,-8.013348,1.611017375393283e-217
KO:K17725,sulfur dioxygenase [EC:1.13.11.18],1997,-7.949036,6.552590874817597e-257
KO:K03937,NADH dehydrogenase (ubiquinone) Fe-S protein 4,1335,-7.9326644,2.730001915772204e-216
KO:K10019,octopine/nopaline transport system permease protein,4257,-7.9262624,1.0160293527906577e-283
KO:K10726,replicative DNA helicase Mcm [EC:3.6.4.-],4707,-7.9010983,2.2167112382889826e-216
KO:K15735,"GntR family transcriptional regulator, carbon starvation induced regulator",2248,-7.8962097,1.8639149311429983e-157
KO:K07142,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],3480,-7.894021,4.126035137574374e-186
KO:K03622,archaea-specific DNA-binding protein,3634,-7.8760247,2.760321115584328e-184
KO:K09721,uncharacterized protein,3458,-7.850826,1.3577000878047116e-198
KO:K00840,succinylornithine aminotransferase [EC:2.6.1.81],1743,-7.8171687,2.836331527183347e-175
KO:K03050,"DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]",3318,-7.785819,5.1589778694652334e-207
KO:K04076,ATP-dependent Lon protease [EC:3.4.21.53],3864,-7.7664876,3.054048893663645e-163
KO:K07557,archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-],2618,-7.761327,1.0165138412418528e-173
KO:K15782,"Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes",3932,-7.7584147,3.218407799798011e-228
KO:K07333,archaeal flagellar protein FlaJ,3477,-7.7427864,4.396601974483876e-169
KO:K07060,endoribonuclease Nob1 [EC:3.1.-.-],3335,-7.7242546,2.975340517068556e-193
KO:K07049,TatD-related deoxyribonuclease,2444,-7.6859665,4.6057669321472836e-186
KO:K03056,DNA-directed RNA polymerase subunit L [EC:2.7.7.6],3363,-7.669457,1.0774065083794818e-197
KO:K04479,DNA polymerase IV (archaeal DinB-like DNA polymerase) [EC:2.7.7.7],4439,-7.6660705,5.922474567833594e-200
KO:K16306,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",4825,-7.643038,4.0825701624768585e-195
KO:K14656,FAD synthetase [EC:2.7.7.2],3787,-7.6278996,3.820860020219802e-196
KO:K09591,steroid 5-alpha-reductase [EC:1.3.1.22],2775,-7.494613,7.51786057247774e-207
KO:K07129,uncharacterized protein,2920,-7.4819727,1.0426108745439394e-177
KO:K18966,sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11],1479,-7.459948,1.5509586035531045e-194
KO:K18593,4-hydroxybutyrate---CoA ligase (ADP-forming) [EC:6.2.1.56],3117,-7.457727,3.091446076360407e-88
KO:K18882,DNA primase large subunit,3598,-7.3792806,1.9952348897669857e-120
KO:K03420,proteasome regulatory subunit,3495,-7.363681,6.159257402678246e-174
KO:K15904,bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1],2850,-7.3472366,1.2015183171528898e-165
KO:K02168,choline/glycine/proline betaine transport protein,3487,-7.3467145,1.1082877896964411e-215
KO:K07732,"riboflavin kinase, archaea type [EC:2.7.1.161]",4220,-7.3404865,3.5028529038743156e-178
KO:K01407,protease III [EC:3.4.24.55],1811,-7.32668,8.587479373667071e-206
KO:K04796,small nuclear ribonucleoprotein,3651,-7.3150916,1.6330049129719232e-90
KO:K13776,citronellyl-CoA synthetase [EC:6.2.1.-],3577,-7.2852125,5.479933327529037e-226
KO:K09722,4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36],4054,-7.2469177,8.536477648893e-186
KO:K09723,DNA replication factor GINS,3427,-7.241769,1.2475655453458186e-78
KO:K07342,protein transport protein SEC61 subunit gamma and related proteins,3610,-7.206165,6.415389182540113e-221
KO:K03047,DNA-directed RNA polymerase subunit D [EC:2.7.7.6],4141,-7.2011547,6.263763941262874e-201
KO:K09728,uncharacterized protein,2565,-7.183659,9.192156251713265e-173
KO:K09735,GTP-dependent dephospho-CoA kinase [EC:2.7.1.-],3482,-7.1832743,1.4694839025809764e-163
KO:K06928,nucleoside-triphosphatase [EC:3.6.1.15],3967,-7.1284647,1.1802531861655895e-168
KO:K04800,replication factor C large subunit,4220,-7.121874,2.197765770193227e-192
KO:K07069,uncharacterized protein,2537,-7.1009355,4.78879975647076e-199
KO:K07446,tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213],3870,-7.0891166,9.11398616512121e-169
KO:K07558,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72],3741,-7.072959,5.876820787768135e-93
KO:K12589,exosome complex component RRP42,4341,-7.064238,9.767433223920028e-218
KO:K07325,archaeal flagellin FlaB,2612,-7.063207,1.1437689032192143e-162
KO:K08306,membrane-bound lytic murein transglycosylase C [EC:4.2.2.-],3998,-7.056467,4.9861453546226496e-203
KO:K08971,putative membrane protein,2750,-7.04673,2.0742960461919326e-148
KO:K02122,V/A-type H+/Na+-transporting ATPase subunit F,4408,-7.0211124,1.1908880460971878e-152
KO:K18594,3-hydroxypropionyl-CoA synthetase (ADP-forming) [EC:6.2.1.-],3455,-7.0135174,2.9304515992841372e-87
KO:K17884,archaetidylinositol phosphate synthase [EC:2.7.8.39],4574,-7.0022435,5.0131284964116345e-135
KO:K04105,4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25],4990,-6.977652,4.738196683731156e-235
KO:K01170,"tRNA-intron endonuclease, archaea type [EC:4.6.1.16]",3792,-6.9665537,1.76305221714302e-130
KO:K07070,uncharacterized protein,3757,-6.950756,9.530873581346891e-171
KO:K03051,DNA-directed RNA polymerase subunit F [EC:2.7.7.6],3417,-6.950591,2.1702813447483087e-125
KO:K13722,tricorn protease interacting factor F2/3 [EC:3.4.11.-],2970,-6.9348307,7.015668432484236e-110
KO:K18603,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3],2199,-6.9321346,7.505336328976106e-79
KO:K07579,putative methylase,2785,-6.93178,5.208684322240058e-171
KO:K07572,putative nucleotide binding protein,3676,-6.91486,2.5264680159660647e-133
KO:K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11],3639,-6.8950787,6.73346561178881e-181
KO:K06875,programmed cell death protein 5,3935,-6.8800716,9.047154284639039e-204
KO:K07463,archaea-specific RecJ-like exonuclease,4114,-6.8762984,4.6181918041589417e-79
KO:K18604,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15],2741,-6.8630815,1.1905826482552606e-97
KO:K05523,D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124],1809,-6.84952,1.612810715101476e-129
KO:K08851,TP53 regulating kinase and related kinases [EC:2.7.11.1],3984,-6.779423,4.0787750015136424e-219
KO:K13637,"GntR family transcriptional regulator, uxu operon transcriptional repressor",2858,-6.7776165,1.1302681525115937e-216
KO:K07255,taurine dehydrogenase small subunit [EC:1.4.2.-],2458,-6.7599955,5.20095459186987e-168
KO:K11180,dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5],3788,-6.739314,6.068264469815797e-80
KO:K07575,malignant T-cell-amplified sequence,4058,-6.7347445,2.0403953752438865e-220
KO:K00610,aspartate carbamoyltransferase regulatory subunit,4597,-6.7239113,1.7482571461393226e-174
KO:K09003,uncharacterized protein,5299,-6.720681,5.384497267903245e-167
KO:K02201,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3],3940,-6.6919656,3.8919978897580387e-194
KO:K15449,tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44],4502,-6.6868525,1.0900884516564253e-219
KO:K15450,tRNA wybutosine-synthesizing protein 3 [EC:2.1.1.282],2191,-6.665449,6.451984887588813e-177
KO:K03055,DNA-directed RNA polymerase subunit K [EC:2.7.7.6],2628,-6.6654267,1.2780147867710033e-127
KO:K08979,putative membrane protein,3505,-6.661189,3.604382507604726e-61
KO:K03058,DNA-directed RNA polymerase subunit N [EC:2.7.7.6],3634,-6.6586924,3.401779732891106e-167
KO:K03674,glutaredoxin 1,1644,-6.6446123,1.1087844453499479e-175
KO:K13039,sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79],5558,-6.6254787,3.9877140992851765e-268
KO:K10896,fanconi anemia group M protein,4991,-6.6081705,1.6129413476461411e-205
KO:K03314,"Na+:H+ antiporter, NhaB family",3711,-6.567257,3.2614617017000316e-208
KO:K13052,cell division protein DivIC,3920,-6.535824,2.100685913252584e-151
KO:K11181,dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],3732,-6.5099306,9.185174834852697e-75
KO:K08096,GTP cyclohydrolase IIa [EC:3.5.4.29],2668,-6.5092416,1.3047741634901926e-65
KO:K02119,V/A-type H+/Na+-transporting ATPase subunit C,4637,-6.5078545,3.9960271948627683e-122
KO:K03679,exosome complex component RRP4,4424,-6.4913774,3.678227693201278e-226
KO:K18532,adenylate kinase [EC:2.7.4.3],4233,-6.4769278,3.3411806681701675e-214
KO:K07230,periplasmic iron binding protein,3936,-6.4705567,2.4670222294789385e-150
KO:K02979,small subunit ribosomal protein S28e,4095,-6.4559956,4.326793272295258e-208
KO:K03136,transcription initiation factor TFIIE subunit alpha,4094,-6.4465704,1.5445417137119437e-173
KO:K01573,oxaloacetate decarboxylase (Na+ extruding) subunit gamma,2612,-6.4443607,8.62833875992004e-176
KO:K03840,flavodoxin II,1511,-6.4350376,2.0905136346417694e-126
KO:K07331,archaeal flagellar protein FlaH,2434,-6.4290857,2.5241512709935065e-157
KO:K16953,dimethylpropiothetin dethiomethylase [EC:4.4.1.3],1170,-6.42797,1.5735962248159582e-153
KO:K06982,pantoate kinase [EC:2.7.1.169],3884,-6.405715,1.2460451207458554e-129
KO:K07561,2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108],4639,-6.3894725,1.8942358913020212e-228
KO:K07176,putative serine/threonine protein kinase,2782,-6.3815513,2.268315909316572e-75
KO:K18605,biotin carboxyl carrier protein,1846,-6.3793387,1.4040088825619979e-62
KO:K09736,uncharacterized protein,3004,-6.372955,3.7111030829508416e-67
KO:K18602,malonic semialdehyde reductase [EC:1.1.1.-],2035,-6.369055,1.3345561347170245e-76
KO:K06981,isopentenyl phosphate kinase [EC:2.7.4.26],4677,-6.3499317,8.01320388867776e-178
KO:K02978,small subunit ribosomal protein S27e,3593,-6.339278,6.968709567147215e-202
KO:K07158,uncharacterized protein,2850,-6.2984133,6.749943648522827e-79
KO:K03105,signal recognition particle subunit SRP19,3764,-6.285802,7.194879668757983e-180
KO:K09152,uncharacterized protein,3217,-6.2698216,5.925504191184503e-62
KO:K03399,cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289],4272,-6.267975,6.828632381103615e-99
KO:K08319,L-threonate 2-dehydrogenase [EC:1.1.1.411],4480,-6.252763,2.036608318793196e-199
KO:K03538,ribonuclease P protein subunit POP4 [EC:3.1.26.5],3412,-6.2187495,3.22563999413392e-131
KO:K14574,ribosome maturation protein SDO1,4525,-6.197673,1.2417409706969108e-218
KO:K09906,elongation factor P hydroxylase [EC:1.14.-.-],2226,-6.18618,4.399574418863734e-193
KO:K06963,tRNA acetyltransferase TAN1,3416,-6.150458,1.9304488875939544e-157
KO:K16426,dehydration protein DpgD,2766,-6.143002,3.784767595122769e-162
KO:K19712,adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62],2827,-6.1389246,2.5643535467638184e-62
KO:K07569,RNA-binding protein,2946,-6.1380963,3.4076380020932435e-69
KO:K06072,deoxyhypusine monooxygenase [EC:1.14.99.29],3286,-6.0948753,3.469298905570422e-210
KO:K07398,conserved protein with predicted RNA binding PUA domain,3194,-6.075592,4.9003292719303445e-90
KO:K04798,prefoldin beta subunit,3980,-6.0556707,2.1469496583207858e-173
KO:K05715,2-phosphoglycerate kinase [EC:2.7.2.16],4865,-6.044104,3.1823713152905155e-114
KO:K00586,diphthine methyl ester synthase [EC:2.1.1.314],4536,-6.0257993,1.1139174257549145e-213
KO:K03812,ribosome modulation factor,1909,-6.007372,9.421781201399892e-113
KO:K04097,prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18],3966,-6.004488,2.0747619605815665e-261
KO:K02966,small subunit ribosomal protein S19e,4317,-5.972874,2.4224283122319146e-217
KO:K06284,"AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes",3469,-5.9703827,2.416381814757829e-106
KO:K12961,DnaA initiator-associating protein,1925,-5.9419975,6.445633644937325e-142
KO:K05359,arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51],3209,-5.9392548,1.6037920634919113e-129
KO:K00043,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],3042,-5.932054,2.6058071882406826e-196
KO:K13713,fusion protein PurCD [EC:6.3.2.6 6.3.4.13],1961,-5.9294825,1.2706966352241074e-164
KO:K15429,tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228],4569,-5.926173,7.619061319497076e-192
KO:K02107,V/A-type H+/Na+-transporting ATPase subunit G/H,3325,-5.9217477,8.513927731315223e-123
KO:K06957,tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193],2256,-5.9198637,8.647909799500244e-108
KO:K02908,large subunit ribosomal protein L30e,4054,-5.9183483,3.9714452772745534e-198
KO:K04342,streptomycin-6-phosphatase [EC:3.1.3.39],2303,-5.9091554,3.763701000756261e-152
KO:K09746,uncharacterized protein,2748,-5.901527,2.5888400153642653e-141
KO:K06961,ribosomal RNA assembly protein,4527,-5.8995953,5.248699538129407e-221
KO:K02929,large subunit ribosomal protein L44e,4098,-5.8870306,2.5233529010043626e-204
KO:K09741,KEOPS complex subunit Pcc1,2345,-5.8807693,5.146264486081835e-53
KO:K11163,dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-],3351,-5.8211856,6.176678914977637e-181
KO:K02921,large subunit ribosomal protein L37Ae,3889,-5.8200097,4.460133535555535e-191
KO:K08720,outer membrane protein OmpU,3400,-5.8182454,3.0543705378991057e-245
KO:K02877,large subunit ribosomal protein L15e,4461,-5.8127956,1.0997757198522088e-207
KO:K06141,"MFS transporter, TsgA protein",1329,-5.809952,4.0497183184331914e-150
KO:K02912,large subunit ribosomal protein L32e,4383,-5.791895,1.2942150706511687e-218
KO:K17105,geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42],4615,-5.7902756,9.385961444935899e-122
KO:K07108,uncharacterized protein,3501,-5.787975,1.7272436035740751e-90
KO:K00474,trimethyllysine dioxygenase [EC:1.14.11.8],3435,-5.774768,7.53605427397043e-174
KO:K07573,exosome complex component CSL4,3981,-5.77318,3.157462613330978e-159
KO:K07581,RNA-binding protein,2878,-5.7677217,4.320171842888404e-73
KO:K07583,tRNA pseudouridine synthase 10 [EC:5.4.99.25],4457,-5.7462025,1.713086057785179e-190
KO:K10235,alpha-glucoside transport system ATP-binding protein,3439,-5.736887,5.20727952977698e-172
KO:K08688,creatinase [EC:3.5.3.3],4287,-5.7321835,2.1494870202802716e-283
KO:K08992,lipopolysaccharide assembly protein A,3115,-5.731276,5.297298146902829e-126
KO:K02883,large subunit ribosomal protein L18e,4453,-5.730693,3.918334591338995e-212
KO:K11391,23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174],1487,-5.7084084,3.035196838114383e-118
KO:K02962,small subunit ribosomal protein S17e,4109,-5.698797,4.582550139521113e-184
KO:K15059,"2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit beta [EC:1.13.11.74 1.13.11.76]",3267,-5.694848,1.5563873710924968e-134
KO:K14647,minor extracellular serine protease Vpr [EC:3.4.21.-],4728,-5.690089,5.932515802298563e-90
KO:K15723,SecY interacting protein Syd,1540,-5.6823244,2.2006130779748634e-135
KO:K19243,NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388],3322,-5.663837,4.487325526868203e-137
KO:K15334,multisite-specific tRNA:(cytosine-C5)-methyltransferase [EC:2.1.1.202],1816,-5.6524644,1.0913596872993319e-160
KO:K04797,prefoldin alpha subunit,3951,-5.635225,1.4707149308475078e-182
KO:K11162,retinol dehydrogenase 14 [EC:1.1.1.-],2663,-5.6189613,1.143448585974244e-117
KO:K18277,trimethylamine monooxygenase [EC:1.14.13.148],4927,-5.610024,4.070122547432943e-269
KO:K13798,DNA-directed RNA polymerase subunit B [EC:2.7.7.6],4914,-5.595585,5.095831739756389e-197
KO:K03146,cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60],4137,-5.593673,9.932957307556587e-48
KO:K06125,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],2162,-5.580576,7.687739378239157e-137
KO:K09866,aquaporin-4,2077,-5.5788503,4.65760061476835e-69
KO:K02318,phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24],2379,-5.564664,4.770385130457109e-155
KO:K04107,4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1],4013,-5.5621943,1.630551014704437e-82
KO:K05309,microsomal prostaglandin-E synthase 2 [EC:5.3.99.3],1357,-5.557897,5.939899096250441e-132
KO:K17209,inositol transport system permease protein,3652,-5.5486045,2.2605141940064952e-123
KO:K06034,sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79],5496,-5.5405755,1.1081636181511934e-239
KO:K09916,uncharacterized protein,2363,-5.534626,2.9535940429819627e-147
KO:K02439,thiosulfate sulfurtransferase [EC:2.8.1.1],3608,-5.5320864,5.783110399387574e-163
KO:K02910,large subunit ribosomal protein L31e,4212,-5.5298243,8.372913274933192e-197
KO:K09148,uncharacterized protein,3092,-5.517305,2.2069907870193734e-58
KO:K07477,translin,5021,-5.4833727,2.5976714364659006e-90
KO:K05789,chain length determinant protein (polysaccharide antigen chain regulator),1456,-5.4805646,6.674341184429264e-120
KO:K06965,protein pelota,4898,-5.4788985,3.720173122260713e-204
KO:K09738,uncharacterized protein,3155,-5.443888,1.9697806450027584e-78
KO:K16200,dipeptide transport system permease protein,2798,-5.4424615,1.9265744383689115e-105
KO:K10021,octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1],4060,-5.427793,4.086121977701148e-83
KO:K13238,Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8],2298,-5.427613,2.181397632756458e-155
KO:K03540,ribonuclease P protein subunit RPR2 [EC:3.1.26.5],4522,-5.4245725,2.7716889556949615e-71
KO:K06156,Gnt-I system low-affinity gluconate transporter,3736,-5.40486,2.3328719632293432e-172
KO:K03237,translation initiation factor 2 subunit 1,4745,-5.3931823,8.436269154571405e-220
KO:K02924,large subunit ribosomal protein L39e,2942,-5.3868484,3.3981757299321445e-116
KO:K03264,translation initiation factor 6,4598,-5.3777747,8.412510851651851e-209
KO:K03059,DNA-directed RNA polymerase subunit P [EC:2.7.7.6],2747,-5.3604975,1.580672098850902e-55
KO:K18473,acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180],2888,-5.3550124,1.2823589159741808e-251
KO:K18382,NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-],5345,-5.34632,5.760247938383197e-248
KO:K13009,O-antigen polymerase [EC:2.4.1.-],1730,-5.345445,1.7777153894805251e-137
KO:K10848,DNA excision repair protein ERCC-4 [EC:3.1.-.-],4116,-5.3363113,9.490922162317099e-161
KO:K01023,arylsulfate sulfotransferase [EC:2.8.2.22],2996,-5.3072405,1.6369599774816445e-143
KO:K11358,aspartate aminotransferase [EC:2.6.1.1],5188,-5.305749,7.970868788014762e-58
KO:K03238,translation initiation factor 2 subunit 2,4507,-5.297025,3.4479888736030934e-198
KO:K11600,exosome complex component RRP41,4838,-5.2930946,1.5047133165758348e-235
KO:K02975,small subunit ribosomal protein S25e,3184,-5.285466,1.836200367553993e-161
KO:K01216,licheninase [EC:3.2.1.73],3505,-5.282139,5.912495614758379e-122
KO:K17361,acyl-coenzyme A thioesterase 9 [EC:3.1.2.-],1697,-5.2603617,4.1064405178013395e-125
KO:K01146,protein Xni,1573,-5.2367096,5.799407368249325e-125
KO:K11187,peroxiredoxin 5 [EC:1.11.1.24],1608,-5.2292686,3.1014145204230972e-146
KO:K09142,methyltransferase [EC:2.1.1.-],3823,-5.2291245,3.6378261540336515e-123
KO:K02944,large subunit ribosomal protein LX,2192,-5.2238784,1.855882076661654e-102
KO:K03263,translation initiation factor 5A,4479,-5.212024,1.5079886611468244e-214
KO:K14664,IAA-amino acid hydrolase [EC:3.5.1.-],2736,-5.2100725,2.82783799817518e-98
KO:K16317,tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257],3974,-5.1930304,4.346452865856648e-152
KO:K09908,uncharacterized protein,2782,-5.188086,2.7451217665812966e-150
KO:K18897,sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157],3291,-5.1642265,1.5340574636866244e-74
KO:K18798,peroxisome-assembly ATPase [EC:3.6.4.7],1734,-5.125804,1.3693026097713971e-96
KO:K07184,SH3 domain protein,4398,-5.1256237,7.431656175799876e-157
KO:K14568,rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260],3751,-5.108101,4.617416211461551e-164
KO:K06874,zinc finger protein,3375,-5.0884132,1.6688184817545496e-126
KO:K10215,monooxygenase [EC:1.14.13.-],3818,-5.077691,1.881636203746228e-144
KO:K16345,xanthine permease XanP,4201,-5.0694985,8.603635252953265e-205
KO:K02782,glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198],1941,-5.0689797,2.92417054243444e-18
KO:K14696,"solute carrier family 30 (zinc transporter), member 9",3067,-5.060755,2.361396840513403e-126
KO:K17623,pseudouridine 5'-phosphatase [EC:3.1.3.96],4073,-5.0591326,3.9731063074587127e-119
KO:K11203,fructose-like PTS system EIIC or EIIBC or EIIABC component,2700,-5.0462627,2.430342871869117e-101
KO:K00777,queuine tRNA-ribosyltransferase catalytic subunit [EC:2.4.2.64],6055,-5.030051,2.1138149602538106e-261
KO:K02560,lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243],1607,-5.0170712,8.736732768516198e-108
KO:K15914,"N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]",2812,-5.0012884,2.2336723902267798e-153
KO:K04482,DNA repair protein RAD51,3095,-4.997153,6.638755909929777e-158
KO:K01762,1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14],1624,-4.994193,6.157029862610161e-139
KO:K05299,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],5305,-4.987957,1.9502210537435338e-68
KO:K07143,UPF0148 protein,2434,-4.987818,9.153563918060587e-49
KO:K03626,nascent polypeptide-associated complex subunit alpha,4365,-4.9863024,1.6642896223731542e-167
KO:K12527,putative selenate reductase [EC:1.97.1.9],4670,-4.985985,4.662589722467268e-72
KO:K03232,elongation factor 1-beta,4091,-4.982,6.753208362814492e-93
KO:K03472,D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72],2960,-4.971978,5.79883110948982e-138
KO:K02475,"two-component system, CitB family, response regulator",4207,-4.960573,7.53399042674077e-76
KO:K03851,taurine-pyruvate aminotransferase [EC:2.6.1.77],4055,-4.9593325,2.18198635881238e-249
KO:K00316,spermidine dehydrogenase [EC:1.5.99.6],5491,-4.9573116,1.2054531481553481e-239
KO:K07109,uncharacterized protein,2829,-4.917045,9.787731410387967e-111
KO:K02896,large subunit ribosomal protein L24e,4104,-4.9050436,3.116240217781053e-206
