,0,1,2,3,4,cluster
66,ko00001,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00965 Betalain biosynthesis [PATH:ko00965],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
67,ko00001,09150 Organismal Systems,09156 Nervous system,04728 Dopaminergic synapse [PATH:ko04728],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
68,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,03037 Cilium and associated proteins [BR:ko03037],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
69,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],K00545  COMT; catechol O-methyltransferase [EC:2.1.1.6],Cluster_1
70,ko00001,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K00570  pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71],Cluster_1
71,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040],"K00594  xyoA, aldO; alditol oxidase [EC:1.1.3.41]",Cluster_1
72,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ko00051],"K00594  xyoA, aldO; alditol oxidase [EC:1.1.3.41]",Cluster_1
73,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],"K00596  E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]",Cluster_1
74,ko00001,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00598  tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144],Cluster_1
75,ko00001,09100 Metabolism,09103 Lipid metabolism,00561 Glycerolipid metabolism [PATH:ko00561],"K00635  tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]",Cluster_1
76,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01008 Polyketide biosynthesis proteins [BR:ko01008],K00646  pksF; malonyl-ACP decarboxylase,Cluster_1
77,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,01504 Antimicrobial resistance genes [BR:ko01504],K00663  aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82],Cluster_1
78,ko00001,09100 Metabolism,09103 Lipid metabolism,00600 Sphingolipid metabolism [PATH:ko00600],K00720  UGCG; ceramide glucosyltransferase [EC:2.4.1.80],Cluster_1
79,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01003 Glycosyltransferases [BR:ko01003],K00720  UGCG; ceramide glucosyltransferase [EC:2.4.1.80],Cluster_1
80,ko00001,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K00839  pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],Cluster_1
81,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],K00839  pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],Cluster_1
82,ko00001,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00862  eryA; erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215],Cluster_1
83,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040],"K00875  rbtK, FGGY; D-ribulokinase [EC:2.7.1.47]",Cluster_1
84,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,01504 Antimicrobial resistance genes [BR:ko01504],K00897  aphA; kanamycin kinase [EC:2.7.1.95],Cluster_1
85,ko00001,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00740 Riboflavin metabolism [PATH:ko00740],K00953  FLAD1; FAD synthetase [EC:2.7.7.2],Cluster_1
86,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],K01003  bcpA; oxaloacetate decarboxylase [EC:4.1.1.112],Cluster_1
87,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00650 Butanoate metabolism [PATH:ko00650],K01027  OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5],Cluster_1
88,ko00001,09100 Metabolism,09105 Amino acid metabolism,"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]",K01027  OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5],Cluster_1
89,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562],K01093  appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2],Cluster_1
90,ko00001,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00740 Riboflavin metabolism [PATH:ko00740],K01093  appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2],Cluster_1
91,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
92,ko00001,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
93,ko00001,09100 Metabolism,09103 Lipid metabolism,00565 Ether lipid metabolism [PATH:ko00565],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
94,ko00001,09140 Cellular Processes,09145 Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
95,ko00001,09150 Organismal Systems,09152 Endocrine system,04919 Thyroid hormone signaling pathway [PATH:ko04919],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
96,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02042 Bacterial toxins [BR:ko02042],K01114  plc; phospholipase C [EC:3.1.4.3],Cluster_1
97,ko00001,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
98,ko00001,09100 Metabolism,09103 Lipid metabolism,00565 Ether lipid metabolism [PATH:ko00565],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
99,ko00001,09130 Environmental Information Processing,09132 Signal transduction,04014 Ras signaling pathway [PATH:ko04014],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
100,ko00001,09130 Environmental Information Processing,09132 Signal transduction,04072 Phospholipase D signaling pathway [PATH:ko04072],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
101,ko00001,09130 Environmental Information Processing,09132 Signal transduction,04071 Sphingolipid signaling pathway [PATH:ko04071],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
102,ko00001,09130 Environmental Information Processing,09132 Signal transduction,04024 cAMP signaling pathway [PATH:ko04024],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
103,ko00001,09140 Cellular Processes,09141 Transport and catabolism,04144 Endocytosis [PATH:ko04144],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
104,ko00001,09150 Organismal Systems,09151 Immune system,04666 Fc gamma R-mediated phagocytosis [PATH:ko04666],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
105,ko00001,09150 Organismal Systems,09152 Endocrine system,04912 GnRH signaling pathway [PATH:ko04912],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
106,ko00001,09150 Organismal Systems,09152 Endocrine system,"04928 Parathyroid hormone synthesis, secretion and action [PATH:ko04928]",K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
107,ko00001,09150 Organismal Systems,09156 Nervous system,04724 Glutamatergic synapse [PATH:ko04724],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
108,ko00001,09160 Human Diseases,09161 Cancer: overview,05200 Pathways in cancer [PATH:ko05200],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
109,ko00001,09160 Human Diseases,09161 Cancer: overview,05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
110,ko00001,09160 Human Diseases,09161 Cancer: overview,05231 Choline metabolism in cancer [PATH:ko05231],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
111,ko00001,09160 Human Diseases,09162 Cancer: specific types,05212 Pancreatic cancer [PATH:ko05212],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
112,ko00001,09180 Brite Hierarchies,09182 Protein families: genetic information processing,04131 Membrane trafficking [BR:ko04131],K01115  PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Cluster_1
113,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],K01178  SGA1; glucoamylase [EC:3.2.1.3],Cluster_1
114,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040],K01184  E3.2.1.15; polygalacturonase [EC:3.2.1.15],Cluster_1
115,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],"K01210  E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]",Cluster_1
116,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],"K01236  treZ, glgZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]",Cluster_1
117,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K01264  APE3; aminopeptidase Y [EC:3.4.11.15],Cluster_1
118,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K01269  yhfE; aminopeptidase [EC:3.4.11.-],Cluster_1
119,ko00001,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K01415  ECE; endothelin-converting enzyme [EC:3.4.24.71],Cluster_1
120,ko00001,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],K01415  ECE; endothelin-converting enzyme [EC:3.4.24.71],Cluster_1
121,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00643 Styrene degradation [PATH:ko00643],K01502  E3.5.5.7; aliphatic nitrilase [EC:3.5.5.7],Cluster_1
122,ko00001,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K01521  cdh; CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26],Cluster_1
123,ko00001,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K01545  kdpF; potassium-transporting ATPase KdpF subunit,Cluster_1
124,ko00001,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K01546  kdpA; potassium-transporting ATPase potassium-binding subunit,Cluster_1
125,ko00001,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K01547  kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6],Cluster_1
126,ko00001,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K01548  kdpC; potassium-transporting ATPase KdpC subunit,Cluster_1
127,ko00001,09150 Organismal Systems,09152 Endocrine system,04919 Thyroid hormone signaling pathway [PATH:ko04919],K01562  DIO1; type I thyroxine 5'-deiodinase [EC:1.21.99.4],Cluster_1
128,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],"K01568  PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]",Cluster_1
129,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],K01569  oxdD; oxalate decarboxylase [EC:4.1.1.2],Cluster_1
130,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00627 Aminobenzoate degradation [PATH:ko00627],K01576  mdlC; benzoylformate decarboxylase [EC:4.1.1.7],Cluster_1
131,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],K01577  oxc; oxalyl-CoA decarboxylase [EC:4.1.1.8],Cluster_1
132,ko00001,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01587  PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6],Cluster_1
133,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],K01616  kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61],Cluster_1
134,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],K01616  kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61],Cluster_1
135,ko00001,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030],"K01621  xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]",Cluster_1
136,ko00001,09100 Metabolism,09102 Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],"K01621  xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]",Cluster_1
137,ko00001,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K01769  E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]",Cluster_1
138,ko00001,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00627 Aminobenzoate degradation [PATH:ko00627],K01781  mdlA; mandelate racemase [EC:5.1.2.2],Cluster_1
